component             | treatment   | strategy         | enrolled | slides | P-pages | S-pages | P-runs | S-runs | covers | closings | looks decl→unsplit→split
----------------------|-------------|------------------|----------|--------|---------|---------|--------|--------|--------|----------|-------------------------
actors                | list-heavy  | -                | yes      | 1      | 5       | 5       | 1      | 1      | 1      | 0        | -                       
agenda                | list-light  | -                | yes      | 11     | 55      | 55      | 11     | 11     | 11     | 0        | 11→10→7                 
authority-chain       | connected   | cover-paginate   | yes      | 5      | 25      | 25      | 5      | 5      | 5      | 0        | 5→5→5                   
big-number            | atomic      | -                | no       | 1      | 1       | 1       | 0      | 0      | 0      | 0        | -                       
cards-grid            | list-heavy  | -                | yes      | 4      | 16      | 16      | 4      | 4      | 4      | 0        | 4→3→1                   
cards-stack           | list-heavy  | -                | yes      | 3      | 12      | 12      | 3      | 3      | 3      | 0        | 3→2→1                   
checklist             | list-light  | -                | yes      | 1      | 7       | 7       | 1      | 1      | 1      | 0        | -                       
citation-card         | atomic      | -                | no       | 5      | 5       | 5       | 0      | 0      | 0      | 0        | -                       
closing               | anchor      | -                | no       | 4      | 4       | 4       | 0      | 0      | 0      | 0        | -                       
code                  | code        | -                | no       | 1      | 1       | 1       | 0      | 0      | 0      | 0        | -                       
compare-code          | read-across | cover-code       | yes      | 1      | 3       | 3       | 1      | 1      | 1      | 0        | -                       
compare-prose         | read-across | cover-sides      | yes      | 9      | 27      | 27      | 9      | 9      | 9      | 0        | 9→8→1                   
compare-table         | read-across | cover-cards      | yes      | 1      | 5       | 5       | 1      | 1      | 1      | 0        | -                       
contact               | atomic      | -                | no       | 1      | 1       | 1       | 0      | 0      | 0      | 0        | -                       
content               | list-light  | -                | yes      | 1      | 6       | 6       | 1      | 1      | 1      | 1        | -                       
cycle                 | connected   | -                | yes      | 1      | 5       | 5       | 1      | 1      | 1      | 0        | -                       
decision              | read-across | cover-decision   | yes      | 2      | 6       | 6       | 2      | 2      | 2      | 0        | 2→2→1                   
diagram               | graphic     | -                | no       | 1      | 1       | 1       | 0      | 0      | 0      | 0        | -                       
divider               | anchor      | -                | no       | 4      | 4       | 4       | 0      | 0      | 0      | 0        | -                       
funnel                | graphic     | -                | no       | 1      | 1       | 1       | 0      | 0      | 0      | 0        | -                       
gantt                 | atomic      | -                | no       | 1      | 1       | 1       | 0      | 0      | 0      | 0        | -                       
glossary              | record      | cover-paginate   | yes      | 1      | 5       | 5       | 1      | 1      | 1      | 0        | -                       
image                 | asset       | -                | no       | 7      | 7       | 7       | 0      | 0      | 0      | 0        | -                       
inventory             | list-light  | -                | yes      | 4      | 20      | 20      | 4      | 4      | 4      | 0        | 4→4→4                   
journey               | read-across | journey-stages   | yes      | 5      | 15      | 5       | 5      | 0      | 0      | 0        | 5→5→1                   
kanban                | read-across | kanban-lanes     | yes      | 3      | 9       | 9       | 3      | 3      | 0      | 0        | 3→3→3                   
